;t1;t2;t3;t4;t5;t6;x;y
0;-85.05;-80.94;-85.55;-49.93;-84.42;-73.43;0.2;0.1
1;-79.64;-71.39;-74.34;-100.0;-80.65;-71.21;0.3;0.1
2;-86.53;-70.06;-83.04;-53.26;-75.55;-67.08;0.3;0.1
3;-86.17;-100.0;-73.31;-55.4;-73.83;-77.1;0.4;0.1
4;-82.77;-81.03;-100.0;-59.7;-79.03;-69.76;0.4;0.0
5;-75.39;-78.63;-78.49;-66.6;-80.06;-71.41;0.7;0.2
6;-81.11;-75.49;-69.39;-68.14;-79.75;-69.85;0.7;0.0
7;-77.59;-73.82;-76.6;-56.96;-72.91;-63.05;0.8;0.1
8;-70.86;-74.01;-72.48;-52.13;-63.95;-71.66;1.1;0.3
9;-81.22;-78.1;-79.22;-56.71;-71.15;-74.57;1.2;0.2
10;-100.0;-100.0;-76.84;-47.53;-73.07;-71.53;1.3;0.1
11;-84.89;-72.34;-83.26;-58.86;-69.64;-83.91;1.2;-0.0
12;-100.0;-74.53;-82.42;-100.0;-75.0;-76.59;1.2;0.1
13;-67.86;-69.69;-68.56;-62.39;-69.42;-75.36;1.4;0.2
14;-79.88;-65.72;-89.68;-59.19;-69.68;-78.16;1.4;0.2
15;-76.89;-70.33;-100.0;-68.8;-77.29;-64.4;1.2;0.2
16;-100.0;-73.04;-100.0;-60.37;-71.81;-100.0;1.5;0.4
17;-80.32;-78.65;-80.29;-100.0;-100.0;-75.74;1.5;0.8
18;-80.1;-84.17;-84.76;-50.17;-77.26;-79.37;1.3;0.4
19;-71.33;-72.54;-70.82;-65.41;-71.31;-74.62;1.5;0.0
20;-76.16;-75.98;-81.53;-54.39;-70.15;-72.79;1.2;0.2
21;-100.0;-77.27;-77.58;-63.95;-83.86;-77.88;1.0;0.1
22;-68.64;-76.77;-81.42;-55.54;-67.19;-84.61;1.2;0.2
23;-77.11;-74.54;-73.9;-64.73;-76.75;-64.43;1.2;0.2
24;-71.39;-100.0;-84.14;-100.0;-70.96;-71.36;1.4;0.9
25;-74.86;-100.0;-73.02;-60.32;-84.16;-71.65;1.4;1.1
26;-100.0;-74.49;-69.33;-64.2;-78.62;-88.29;1.3;1.5
27;-72.81;-77.13;-74.24;-50.82;-78.02;-70.56;0.9;1.2
28;-77.41;-75.18;-79.36;-53.18;-74.94;-77.37;0.6;1.2
29;-74.03;-77.57;-79.93;-100.0;-82.89;-76.47;0.5;0.6
30;-74.79;-69.04;-75.88;-58.04;-100.0;-73.61;1.2;0.2
31;-79.32;-75.85;-81.48;-63.03;-81.89;-91.95;1.7;0.8
32;-75.77;-87.81;-79.02;-100.0;-75.07;-77.86;1.4;1.1
33;-84.96;-73.29;-71.17;-52.58;-68.7;-73.91;1.0;0.3
34;-82.35;-75.57;-79.92;-64.26;-74.16;-61.0;0.6;0.5
35;-73.95;-73.18;-82.73;-68.58;-73.77;-67.5;0.4;0.9
36;-84.48;-81.99;-70.66;-63.03;-74.19;-77.94;0.4;1.4
37;-100.0;-74.38;-83.28;-63.92;-100.0;-75.41;0.4;1.3
38;-79.15;-76.12;-79.61;-56.34;-85.91;-66.72;0.7;1.1
39;-71.87;-83.27;-69.47;-59.32;-75.26;-85.1;0.7;0.8
40;-62.68;-100.0;-78.67;-100.0;-71.76;-83.51;0.9;1.0
41;-71.82;-100.0;-75.72;-62.14;-78.2;-79.39;0.7;0.2
42;-77.86;-70.53;-74.81;-49.98;-72.97;-70.13;0.5;0.5
43;-83.37;-87.54;-74.9;-64.56;-73.49;-100.0;0.8;0.8
44;-74.42;-81.57;-69.91;-63.58;-68.93;-72.21;0.7;0.6
45;-71.83;-65.32;-84.54;-100.0;-76.81;-62.4;0.2;0.8
46;-83.71;-75.31;-79.53;-65.14;-71.91;-72.68;0.4;1.0
47;-67.06;-86.05;-71.93;-55.08;-75.03;-69.7;0.6;1.3
48;-69.43;-73.45;-77.44;-58.22;-70.59;-85.54;0.7;1.5
49;-76.02;-73.9;-76.91;-57.94;-70.36;-100.0;1.0;1.3
50;-71.57;-73.07;-72.2;-63.37;-79.89;-75.89;0.7;1.0
51;-75.31;-100.0;-77.88;-66.66;-86.81;-68.78;0.7;1.0
52;-66.2;-74.39;-76.14;-60.53;-73.31;-78.48;0.6;1.0
53;-84.53;-68.75;-100.0;-100.0;-74.31;-66.23;0.3;0.6
54;-77.64;-76.64;-87.32;-47.6;-71.33;-62.64;0.3;0.6
55;-72.33;-74.36;-84.56;-50.63;-68.89;-64.84;0.3;0.6
56;-100.0;-73.51;-80.71;-100.0;-74.49;-68.51;1.1;0.0
57;-73.39;-81.46;-71.68;-57.11;-66.33;-75.9;1.2;0.1
58;-100.0;-100.0;-69.41;-59.44;-73.55;-74.44;1.2;0.1
59;-75.55;-70.65;-83.91;-56.8;-68.93;-75.74;1.2;0.2
60;-76.3;-79.44;-78.74;-100.0;-76.82;-81.59;0.8;0.2
61;-83.69;-79.5;-75.66;-56.23;-75.5;-74.85;0.8;0.3
62;-79.32;-75.11;-80.92;-59.35;-70.79;-70.21;0.6;0.7
63;-68.46;-79.69;-73.08;-60.56;-72.69;-73.88;0.6;0.7
64;-76.97;-80.8;-74.7;-100.0;-70.9;-77.28;1.1;1.3
65;-78.25;-80.9;-66.44;-100.0;-68.1;-76.92;1.2;1.5
66;-76.33;-73.66;-76.06;-63.52;-57.83;-69.2;0.9;1.6
67;-70.43;-70.77;-64.71;-100.0;-75.14;-100.0;1.1;1.9
68;-76.46;-77.2;-100.0;-62.77;-69.64;-83.05;1.1;2.0
69;-78.88;-77.91;-70.94;-59.3;-65.63;-100.0;1.2;1.5
70;-80.47;-100.0;-79.53;-70.41;-100.0;-76.29;1.9;1.5
71;-100.0;-65.65;-83.07;-83.32;-80.93;-100.0;2.4;1.1
72;-60.78;-77.72;-81.64;-58.84;-67.27;-77.55;2.5;1.4
73;-65.32;-100.0;-76.17;-74.66;-77.1;-72.6;2.7;1.1
74;-71.87;-67.82;-75.3;-69.75;-82.35;-100.0;2.6;1.0
75;-72.38;-75.88;-68.9;-73.16;-64.75;-76.21;3.0;0.6
76;-70.16;-74.51;-79.45;-65.42;-59.38;-70.36;3.0;0.7
77;-77.81;-62.94;-100.0;-79.66;-74.9;-80.43;2.6;0.9
78;-67.48;-73.92;-69.62;-78.17;-73.93;-78.66;2.6;1.0
79;-65.52;-70.68;-77.1;-68.77;-73.26;-70.44;2.8;0.9
80;-69.79;-65.01;-81.0;-65.71;-63.15;-80.28;2.9;0.8
81;-75.36;-100.0;-100.0;-68.46;-70.12;-100.0;2.6;0.3
82;-85.05;-73.73;-72.92;-64.02;-71.5;-100.0;3.1;0.2
83;-83.66;-100.0;-74.86;-71.45;-64.75;-81.83;3.1;0.3
84;-79.43;-65.16;-74.86;-77.61;-61.46;-77.18;3.1;0.3
85;-100.0;-73.36;-85.08;-73.13;-100.0;-100.0;3.0;0.3
86;-78.48;-76.27;-100.0;-61.83;-63.72;-78.6;2.8;0.6
87;-75.02;-66.87;-69.12;-70.78;-68.56;-78.43;3.1;1.1
88;-76.42;-100.0;-83.92;-80.58;-60.54;-80.54;3.1;1.1
89;-65.31;-65.14;-78.35;-66.54;-61.39;-75.97;3.0;1.1
90;-74.09;-66.46;-80.79;-100.0;-63.86;-77.3;3.0;1.4
91;-70.4;-82.75;-78.08;-69.02;-100.0;-80.98;3.0;1.9
92;-72.8;-79.0;-67.54;-73.85;-69.21;-80.35;3.0;1.9
93;-59.11;-77.61;-74.55;-72.68;-67.07;-90.07;3.0;1.2
94;-70.06;-68.15;-68.93;-65.41;-65.45;-79.43;3.0;1.3
95;-79.66;-77.73;-83.96;-66.0;-67.33;-78.04;2.6;1.0
96;-70.47;-76.38;-77.18;-67.2;-64.49;-69.77;2.4;1.2
